pdb,chain,name,L,resolution,n_pairs,split
8j4w,C,8j4w_C,144,1.21,425,train
4y0l,A,4y0l_A,80,2.40,224,train
6rwc,A,6rwc_A,84,2.14,210,train
1sgl,A,1sgl_A,206,2.20,627,val
4h7l,A,4h7l_A,115,2.45,315,val
3bkr,A,3bkr_A,119,1.40,351,train
8b5u,A,8b5u_A,227,1.80,706,train
3ctg,A,3ctg_A,108,1.50,329,train
3bv8,A,3bv8_A,85,1.75,218,train
4ox5,A,4ox5_A,184,1.80,592,val
5lfz,A,5lfz_A,200,1.56,711,train
8h17,A,8h17_A,157,2.15,511,test
4r3q,A,4r3q_A,69,1.90,159,train
27gz,A,27gz_A,220,2.40,669,train
3rjs,A,3rjs_A,87,1.50,272,val
6qbe,A,6qbe_A,215,2.00,731,train
3lqy,A,3lqy_A,187,1.75,601,train
8sot,A,8sot_A,116,1.99,337,train
3lwj,A,3lwj_A,193,2.07,639,val
6has,A,6has_A,87,1.38,264,test
3vop,A,3vop_A,40,2.20,81,train
4q6l,A,4q6l_A,135,2.20,428,train
2xgr,A,2xgr_A,197,1.70,638,train
3ctv,A,3ctv_A,92,2.46,284,train
6v4y,A,6v4y_A,31,1.85,65,test
4ew7,A,4ew7_A,113,1.67,327,train
6fsf,A,6fsf_A,218,2.20,659,train
9cj0,A,9cj0_A,170,1.30,530,train
4ydp,A,4ydp_A,83,1.40,248,train
7bx9,A,7bx9_A,168,1.38,568,train
2qcw,A,2qcw_A,104,2.49,274,train
3aqy,A,3aqy_A,99,1.58,296,train
3cnr,A,3cnr_A,91,1.90,275,train
3r87,A,3r87_A,132,1.05,412,test
1uv7,A,1uv7_A,76,1.70,222,train
5fjl,A,5fjl_A,136,1.47,402,train
8iu1,A,8iu1_A,138,1.97,448,test
3o7v,X,3o7v_X,107,2.10,309,train
8dtq,A,8dtq_A,86,1.45,254,train
5m97,B,5m97_B,67,1.33,163,train
9rhp,A,9rhp_A,168,1.49,499,train
5oa9,A,5oa9_A,205,1.80,613,val
1z1s,A,1z1s_A,136,1.49,401,train
6zm0,AAA,6zm0_AAA,155,1.47,522,train
5xb0,A,5xb0_A,133,1.60,404,val
3ehg,A,3ehg_A,125,1.74,383,test
3l4n,A,3l4n_A,113,1.50,356,train
3kuq,A,3kuq_A,192,2.30,637,val
4obi,A,4obi_A,87,1.73,257,train
5zbt,A,5zbt_A,212,2.40,725,train
7og8,A,7og8_A,68,1.40,180,val
2v1w,A,2v1w_A,89,1.90,258,train
3p06,A,3p06_A,194,2.10,676,train
1td4,A,1td4_A,103,1.50,298,train
1job,A,1job_A,162,2.40,499,train
3hro,A,3hro_A,37,1.90,77,train
5xsf,A,5xsf_A,209,1.96,720,train
4a6q,A,4a6q_A,143,1.50,356,train
3acc,A,3acc_A,166,2.16,534,train
2x2o,A,2x2o_A,117,1.13,381,train
3cni,A,3cni_A,145,2.30,452,train
2vsd,A,2vsd_A,93,1.82,288,train
3u97,A,3u97_A,77,1.10,215,train
4pgo,A,4pgo_A,90,2.30,271,train
2xz2,A,2xz2_A,66,1.40,150,train
1r4v,A,1r4v_A,151,1.90,478,train
2r0b,A,2r0b_A,151,1.60,527,train
1z6g,A,1z6g_A,191,2.18,579,val
5e3b,A,5e3b_A,148,1.60,469,train
2vge,A,2vge_A,208,2.10,636,train
4rru,A,4rru_A,189,2.10,621,test
3zft,A,3zft_A,148,1.80,459,train
8fjf,A,8fjf_A,127,1.60,419,val
9ldn,A,9ldn_A,122,1.35,360,train
8yt5,A,8yt5_A,194,1.60,677,train
2c9l,Y,2c9l_Y,63,2.25,142,train
3e3u,A,3e3u_A,196,1.56,645,train
3q7t,A,3q7t_A,96,2.15,274,train
2fdo,B,2fdo_B,94,2.40,137,train
4pws,A,4pws_A,176,2.15,538,train
7yir,A,7yir_A,99,2.10,298,train
1gzz,B,1gzz_B,60,2.30,150,train
4gco,A,4gco_A,120,1.60,400,train
1fn0,A,1fn0_A,177,2.00,552,train
7f8f,A,7f8f_A,80,1.83,217,train
2qnl,A,2qnl_A,162,1.50,526,train
2ioj,A,2ioj_A,120,2.15,384,train
1dus,A,1dus_A,194,1.80,632,test
2esh,A,2esh_A,114,2.30,312,train
4kmy,A,4kmy_A,207,1.79,676,train
2pln,A,2pln_A,118,1.80,359,train
5xgt,A,5xgt_A,104,1.82,271,train
1umj,A,1umj_A,101,1.60,299,train
5t76,A,5t76_A,208,2.00,644,train
1s1e,A,1s1e_A,181,2.30,589,test
7w70,A,7w70_A,87,1.15,263,train
1z6i,A,1z6i_A,167,2.50,564,val
6y2c,A,6y2c_A,72,2.00,211,train
4jtm,A,4jtm_A,81,1.43,220,train
5fb2,A,5fb2_A,138,1.80,389,train
1f2v,A,1f2v_A,209,2.10,722,train
3gr5,A,3gr5_A,153,2.05,481,train
3rx9,A,3rx9_A,130,1.35,419,train
8jfx,A,8jfx_A,232,2.20,732,train
5by5,A,5by5_A,115,1.20,336,train
5evf,A,5evf_A,105,1.76,306,train
3psm,A,3psm_A,47,0.98,133,test
6kim,A,6kim_A,172,2.06,551,train
2g7e,A,2g7e_A,207,1.60,716,train
7ng2,A,7ng2_A,157,1.23,493,test
2ylf,A,2ylf_A,162,2.05,510,test
6pi4,A,6pi4_A,119,2.10,299,val
8dvq,A,8dvq_A,132,2.19,419,train
3f5d,A,3f5d_A,193,2.06,636,train
3gkh,A,3gkh_A,225,1.81,730,train
2fpn,A,2fpn_A,205,2.49,584,train
5wiw,A,5wiw_A,109,2.30,268,val
6ljd,C,6ljd_C,208,2.15,676,train
23tz,A,23tz_A,135,2.10,451,train
5ol7,A,5ol7_A,143,1.60,484,train
2fac,A,2fac_A,77,1.76,225,test
6myf,A,6myf_A,94,1.60,274,train
9g0u,A,9g0u_A,149,2.50,454,train
8px5,A,8px5_A,152,1.77,478,train
1eb0,A,1eb0_A,143,1.85,428,train
7de7,A,7de7_A,97,1.49,299,train
7jlz,A,7jlz_A,204,1.64,621,train
3nph,B,3nph_B,131,1.85,427,train
3ah7,A,3ah7_A,109,1.90,310,train
4mai,A,4mai_A,187,1.40,619,train
4nof,A,4nof_A,111,1.65,327,train
2gui,A,2gui_A,176,1.60,583,train
3kuz,A,3kuz_A,110,2.30,318,val
9ib6,A,9ib6_A,134,1.20,439,train
2v1q,A,2v1q_A,60,1.20,167,train
3erj,A,3erj_A,116,1.80,350,train
8xxb,A,8xxb_A,222,2.40,749,train
7en7,A,7en7_A,191,1.22,614,train
5ce7,A,5ce7_A,140,2.00,475,train
5kza,A,5kza_A,94,1.86,281,train
1dix,A,1dix_A,208,1.65,674,train
6dnl,A,6dnl_A,115,1.70,350,val
2zw1,A,2zw1_A,57,1.60,155,train
3qtb,A,3qtb_A,125,2.10,389,train
3t90,A,3t90_A,147,1.50,400,train
2of7,A,2of7_A,191,2.30,606,train
5by4,A,5by4_A,105,1.70,261,val
2utg,A,2utg_A,70,1.64,185,train
3gt6,A,3gt6_A,100,2.15,262,train
3ce8,A,3ce8_A,90,2.40,236,train
2pmp,A,2pmp_A,160,2.30,511,test
1nog,A,1nog_A,149,1.55,490,test
1g2y,A,1g2y_A,31,1.00,56,train
5abs,A,5abs_A,66,1.74,122,train
12td,A,12td_A,144,1.99,446,train
4f2e,A,4f2e_A,98,1.45,293,train
5dn7,A,5dn7_A,240,2.20,815,val
8eb9,A,8eb9_A,89,1.28,275,train
3q2r,A,3q2r_A,192,2.20,650,train
8ajp,A,8ajp_A,199,1.80,631,test
3ro7,A,3ro7_A,233,2.50,786,train
4af5,A,4af5_A,174,1.90,546,test
5hdw,A,5hdw_A,131,2.00,376,train
2wnx,A,2wnx_A,157,1.31,492,val
3ff5,A,3ff5_A,54,1.80,137,val
7xh4,A,7xh4_A,177,2.20,534,val
5i27,A,5i27_A,87,2.05,258,train
5xlj,A,5xlj_A,192,1.90,568,train
2y9r,T,2y9r_T,98,1.90,290,train
2v24,A,2v24_A,197,2.20,669,train
7tgp,A,7tgp_A,51,1.40,122,train
6naf,A,6naf_A,74,1.92,235,train
3lmc,A,3lmc_A,191,2.00,634,train
5ud8,A,5ud8_A,106,1.80,321,train
1cyw,A,1cyw_A,159,2.50,522,train
5z2s,A,5z2s_A,50,1.50,140,train
3clv,A,3clv_A,175,1.89,548,test
7d2h,A,7d2h_A,57,2.20,118,train
3ffm,A,3ffm_A,145,2.30,438,train
4nrp,A,4nrp_A,211,1.80,683,test
7ur8,A,7ur8_A,71,1.50,155,val
6h8f,A,6h8f_A,45,1.78,109,train
6pb3,A,6pb3_A,261,2.05,794,train
7csv,A,7csv_A,98,1.71,274,val
2fe4,A,2fe4_A,163,2.30,513,train
6i6y,A,6i6y_A,95,2.15,245,train
8ylj,A,8ylj_A,162,2.05,427,train
9pgw,A,9pgw_A,179,1.46,580,train
5k28,A,5k28_A,62,1.50,171,train
6gv8,A,6gv8_A,157,1.39,445,train
4agh,A,4agh_A,80,1.79,183,train
3gva,A,3gva_A,107,2.00,317,train
8evk,A,8evk_A,115,1.49,343,train
9dfq,A,9dfq_A,95,2.10,279,train
7jjk,A,7jjk_A,71,1.40,171,train
3ofh,A,3ofh_A,86,2.01,245,train
3tsv,A,3tsv_A,93,1.99,270,val
2wz8,A,2wz8_A,135,1.50,458,train
4pdt,A,4pdt_A,119,1.40,386,train
1cm3,A,1cm3_A,85,1.60,268,train
2p39,A,2p39_A,142,1.50,428,train
7kuw,A,7kuw_A,62,2.43,156,train
4off,A,4off_A,124,1.89,372,train
9qt1,A,9qt1_A,57,2.10,125,train
3zmo,A,3zmo_A,172,1.80,428,val
5yad,A,5yad_A,73,1.76,203,train
2p8t,A,2p8t_A,184,1.80,620,test
3cjn,A,3cjn_A,146,1.95,400,train
8got,A,8got_A,208,1.99,706,train
3g7y,A,3g7y_A,153,2.21,456,train
3eur,A,3eur_A,140,1.30,436,train
9csf,A,9csf_A,75,1.84,149,train
4j8q,A,4j8q_A,194,2.50,576,train
1sen,A,1sen_A,135,1.20,429,train
5i2l,A,5i2l_A,105,1.85,313,train
4l0w,A,4l0w_A,173,2.29,533,train
6fcw,A,6fcw_A,209,2.00,656,val
2b94,A,2b94_A,242,1.85,814,train
1yn3,A,1yn3_A,98,1.35,271,train
9js5,A,9js5_A,99,1.80,216,val
3u21,A,3u21_A,109,2.18,314,train
4cu2,A,4cu2_A,80,2.11,223,val
4hk1,A,4hk1_A,243,2.00,751,train
5wue,A,5wue_A,203,2.40,676,train
2q2f,A,2q2f_A,72,1.50,161,train
3es1,A,3es1_A,163,1.91,431,train
2qtd,A,2qtd_A,104,1.70,321,train
4g4x,A,4g4x_A,108,1.50,335,train
1io2,A,1io2_A,213,2.00,704,train
5vr3,A,5vr3_A,60,2.10,149,train
2nx8,A,2nx8_A,168,2.00,560,train
2bh0,A,2bh0_A,207,2.50,720,train
6u1u,A,6u1u_A,216,1.75,701,train
2il1,A,2il1_A,163,2.10,528,train
1i1j,A,1i1j_A,106,1.39,310,train
2p4d,A,2p4d_A,163,1.80,523,train
3dee,A,3dee_A,200,2.10,580,train
1tgg,A,1tgg_A,34,2.00,70,train
2wvi,A,2wvi_A,160,1.80,476,train
2c60,A,2c60_A,85,1.25,221,train
1ge6,A,1ge6_A,163,2.20,569,train
6o5k,A,6o5k_A,46,1.60,116,train
2gyz,A,2gyz_A,97,1.76,239,train
6q5p,A,6q5p_A,31,1.44,56,train
1mk1,A,1mk1_A,187,2.00,557,test
4jdu,A,4jdu_A,201,1.47,661,train
9eyl,A,9eyl_A,184,1.50,637,train
3hvw,A,3hvw_A,159,1.70,500,train
4rfa,A,4rfa_A,214,2.21,651,train
7tqn,A,7tqn_A,215,1.80,704,train
2h28,A,2h28_A,109,2.10,323,train
6gq4,A,6gq4_A,103,1.65,297,train
2j1e,A,2j1e_A,142,2.40,472,train
5tzg,C,5tzg_C,76,2.50,218,train
1jgs,A,1jgs_A,138,2.30,384,train
6j05,A,6j05_A,101,1.86,278,test
1rhp,A,1rhp_A,64,2.40,149,train
2go8,A,2go8_A,89,2.30,216,train
3rmi,A,3rmi_A,105,2.40,269,train
1p9q,C,1p9q_C,230,2.00,720,val
8afo,A,8afo_A,199,1.99,631,train
2il4,A,2il4_A,90,2.05,271,train
3lwe,A,3lwe_A,61,2.05,138,train
1yz7,A,1yz7_A,176,2.26,538,train
1ybx,A,1ybx_A,91,1.80,252,train
3cjl,A,3cjl_A,88,2.20,209,train
5v2n,A,5v2n_A,161,2.00,448,train
3g1c,A,3g1c_A,97,2.20,240,train
4a47,A,4a47_A,63,1.90,172,train
2i3y,A,2i3y_A,188,2.00,604,train
9k4q,A,9k4q_A,90,2.00,289,train
2ozh,A,2ozh_A,142,1.40,373,train
4zbg,A,4zbg_A,154,1.25,473,train
9isp,A,9isp_A,156,2.21,520,train
2bbr,A,2bbr_A,189,1.20,604,train
6yrb,A,6yrb_A,100,2.35,265,val
1u8u,A,1u8u_A,179,2.08,613,train
9l2w,A,9l2w_A,63,1.50,121,train
3if0,X,3if0_X,149,2.20,460,train
5a48,A,5a48_A,84,2.35,210,val
6u6v,A,6u6v_A,147,1.90,466,train
3t3l,A,3t3l_A,121,1.15,366,train
4nfa,A,4nfa_A,204,2.50,612,train
5kzy,A,5kzy_A,117,2.48,365,train
1mpu,A,1mpu_A,128,2.50,385,train
2h0e,A,2h0e_A,112,2.20,333,train
3irc,A,3irc_A,104,2.25,266,train
1lu4,A,1lu4_A,134,1.12,427,train
1skz,A,1skz_A,104,1.90,262,train
2o71,A,2o71_A,91,2.00,272,test
2bop,A,2bop_A,85,1.70,229,train
3lhe,A,3lhe_A,124,1.62,366,train
5ej0,A,5ej0_A,212,1.90,672,train
7bjn,A,7bjn_A,59,2.30,126,train
8w1d,A,8w1d_A,147,1.30,500,test
1wz3,A,1wz3_A,84,1.80,122,train
6ypr,AAA,6ypr_AAA,96,1.26,263,train
4gdz,A,4gdz_A,149,1.95,455,train
4bmc,A,4bmc_A,183,1.98,571,train
3s9g,A,3s9g_A,82,2.10,180,train
6kgi,B,6kgi_B,86,1.04,201,train
2hl7,A,2hl7_A,82,1.70,231,train
2nyv,A,2nyv_A,217,2.10,722,train
3n79,A,3n79_A,183,1.50,651,train
3swy,A,3swy_A,46,1.90,97,train
3ull,A,3ull_A,106,2.40,275,train
1gmi,A,1gmi_A,135,1.70,408,train
2jay,A,2jay_A,193,1.99,633,train
5zby,A,5zby_A,156,1.59,476,train
2hza,A,2hza_A,131,2.10,354,train
2pne,A,2pne_A,81,0.98,282,train
4y2k,A,4y2k_A,65,1.70,184,test
1zvc,A,1zvc_A,171,1.79,573,val
3toq,A,3toq_A,95,2.00,292,val
6wcu,A,6wcu_A,30,1.80,63,train
5i8j,A,5i8j_A,64,1.75,187,test
5tdq,A,5tdq_A,123,2.49,403,train
1q1u,A,1q1u_A,138,1.70,436,train
6sl8,A,6sl8_A,161,1.53,491,train
7tjl,A,7tjl_A,85,1.87,240,train
7m0q,A,7m0q_A,96,2.40,273,train
1hbk,A,1hbk_A,89,2.00,252,train
2ck2,A,2ck2_A,94,2.00,276,train
2ap3,A,2ap3_A,192,1.60,561,train
1m2i,A,1m2i_A,82,1.80,218,train
7dpy,A,7dpy_A,90,1.80,254,val
7bqg,A,7bqg_A,85,1.55,160,train
3lx3,A,3lx3_A,163,1.55,520,train
6d42,A,6d42_A,39,1.75,81,train
3cbn,A,3cbn_A,144,1.63,488,train
3rfn,A,3rfn_A,151,1.80,487,test
4qnd,A,4qnd_A,97,1.70,286,train
4kr1,A,4kr1_A,219,2.50,690,train
5m1m,A,5m1m_A,154,1.50,510,train
9nq2,A,9nq2_A,115,2.40,341,train
5uqj,A,5uqj_A,209,1.80,673,train
4gzn,C,4gzn_C,59,0.99,121,train
1y80,A,1y80_A,125,1.70,400,train
7xce,A,7xce_A,246,2.50,798,train
8bfh,A,8bfh_A,171,2.20,539,train
3urg,A,3urg_A,123,2.00,358,train
1dxg,A,1dxg_A,36,1.80,75,test
2yfz,A,2yfz_A,140,1.80,453,train
2ga1,A,2ga1_A,103,2.00,257,train
1bam,A,1bam_A,200,1.95,693,train
3pl1,A,3pl1_A,185,2.20,597,val
9i0t,A,9i0t_A,197,1.80,668,test
4gwt,A,4gwt_A,33,2.25,71,train
5jcv,A,5jcv_A,175,2.23,566,train
8ua5,A,8ua5_A,119,2.45,260,train
9xb4,A,9xb4_A,218,2.50,682,val
2o4w,A,2o4w_A,162,1.90,521,val
2fw5,A,2fw5_A,125,2.00,330,train
1nhl,A,1nhl_A,54,2.30,116,train
3tvr,A,3tvr_A,172,1.80,526,val
4oy6,A,4oy6_A,186,1.29,660,train
9bkr,A,9bkr_A,74,1.40,191,train
8jms,A,8jms_A,212,2.20,643,train
3ui5,A,3ui5_A,101,1.40,324,train
3ek3,A,3ek3_A,187,1.70,552,train
3s64,A,3s64_A,81,2.30,237,train
1tol,A,1tol_A,157,1.85,495,train
6bjo,A,6bjo_A,86,1.75,243,test
1p2f,A,1p2f_A,217,1.80,697,train
6l0o,A,6l0o_A,71,1.21,188,train
3k20,A,3k20_A,181,2.50,581,test
8d02,A,8d02_A,148,1.40,473,test
5zwt,A,5zwt_A,83,2.00,238,train
4j8c,A,4j8c_A,44,1.10,96,train
2v4v,A,2v4v_A,129,1.50,456,train
6sbw,A,6sbw_A,48,2.24,83,train
3us4,A,3us4_A,97,1.50,281,train
6riz,A,6riz_A,127,1.85,425,val
3kvt,A,3kvt_A,103,2.00,291,train
1r54,A,1r54_A,206,1.85,673,test
9or2,AA1,9or2_AA1,210,2.07,738,train
5n7h,A,5n7h_A,105,2.20,290,train
2vuz,A,2vuz_A,129,1.70,428,val
4iau,A,4iau_A,161,0.99,568,val
4mb6,A,4mb6_A,183,1.81,584,test
4p09,A,4p09_A,177,1.70,557,train
1sf9,A,1sf9_A,118,1.71,331,train
8v9s,A,8v9s_A,74,1.86,214,train
5a7l,A,5a7l_A,80,2.10,241,train
3pr6,A,3pr6_A,145,1.80,423,train
7byu,A,7byu_A,108,2.21,277,train
6jlc,A,6jlc_A,222,1.85,735,train
9teu,A,9teu_A,131,0.90,342,train
5los,A,5los_A,89,2.00,258,train
2jlh,A,2jlh_A,114,1.53,359,train
4n5x,A,4n5x_A,155,2.10,493,val
2a9i,A,2a9i_A,105,1.70,316,train
5npt,A,5npt_A,127,2.40,381,train
1e0b,A,1e0b_A,61,1.90,154,train
3c7x,A,3c7x_A,196,1.70,645,train
2qgz,A,2qgz_A,183,2.40,571,train
3zqx,A,3zqx_A,146,1.04,478,val
4wz0,A,4wz0_A,109,1.95,323,train
2azw,A,2azw_A,146,1.90,441,test
9vvn,A,9vvn_A,167,1.60,516,train
7rdt,A,7rdt_A,215,2.10,664,train
3h3m,A,3h3m_A,89,2.50,239,train
5i93,A,5i93_A,179,2.24,575,train
6ipy,A,6ipy_A,67,1.34,169,train
4umg,A,4umg_A,102,1.68,287,train
2gk2,A,2gk2_A,109,2.20,354,train
2p6v,A,2p6v_A,97,2.00,298,train
5xuk,A,5xuk_A,115,2.30,351,train
6o19,A,6o19_A,59,1.60,94,val
1h2f,A,1h2f_A,207,2.00,703,train
6qzj,A,6qzj_A,245,2.20,899,val
4z8w,A,4z8w_A,125,1.98,367,train
5myi,D,5myi_D,165,1.90,520,train
2y3d,A,2y3d_A,111,2.30,308,train
5z28,A,5z28_A,96,2.25,245,train
6f1d,A,6f1d_A,117,1.95,348,train
2hng,A,2hng_A,125,1.63,378,val
3gan,A,3gan_A,113,2.00,332,train
1boy,A,1boy_A,211,2.20,653,train
5z07,A,5z07_A,213,2.30,696,train
3a1b,A,3a1b_A,148,2.29,483,train
3fq6,A,3fq6_A,114,2.36,343,train
5zmo,A,5zmo_A,158,1.69,515,test
6waj,A,6waj_A,81,1.90,214,train
7po9,A,7po9_A,88,1.90,218,test
3hbk,A,3hbk_A,231,2.36,786,train
2vty,A,2vty_A,144,2.10,378,train
1u2q,A,1u2q_A,155,2.50,514,test
2xf4,A,2xf4_A,210,2.30,761,train
9rxw,A,9rxw_A,90,1.60,255,train
2atv,A,2atv_A,168,1.90,537,train
2d3v,A,2d3v_A,179,1.85,565,train
6gie,A,6gie_A,218,2.10,659,train
1yo5,C,1yo5_C,88,2.00,250,val
6cwm,A,6cwm_A,171,1.15,542,test
1zt3,A,1zt3_A,80,1.80,209,test
3gz7,A,3gz7_A,99,2.15,287,val
5uxt,A,5uxt_A,34,2.20,71,train
3lr0,A,3lr0_A,102,1.90,297,test
1lqx,A,1lqx_A,82,1.80,219,train
7ocz,A,7ocz_A,81,1.82,221,train
1igu,A,1igu_A,59,2.20,135,train
5mxz,A,5mxz_A,82,1.90,213,train
4ytv,A,4ytv_A,69,1.45,157,train
4e6s,A,4e6s_A,85,1.85,206,train
4tr5,A,4tr5_A,200,2.30,599,test
2qsb,A,2qsb_A,85,1.30,264,test
5det,A,5det_A,91,1.95,259,train
7w18,A,7w18_A,212,1.70,729,test
5nvd,A,5nvd_A,175,2.50,508,train
3zig,A,3zig_A,82,2.50,232,val
2o6k,A,2o6k_A,72,2.10,203,train
2i5u,A,2i5u_A,77,1.50,235,train
4s36,A,4s36_A,90,1.46,103,train
6nu9,A,6nu9_A,168,1.76,555,train
2ila,A,2ila_A,145,2.30,44,train
1pzs,A,1pzs_A,171,1.63,514,train
6y6o,A,6y6o_A,116,2.04,295,test
6q1w,A,6q1w_A,34,1.50,69,train
2fgg,A,2fgg_A,84,2.30,205,val
8wac,A,8wac_A,119,1.50,353,train
5azw,A,5azw_A,94,1.50,276,train
2wx3,A,2wx3_A,43,2.31,89,train
2bep,A,2bep_A,156,1.80,509,train
3b7c,A,3b7c_A,121,1.70,368,test
3tq2,A,3tq2_A,36,1.10,71,train
1fy2,A,1fy2_A,220,1.20,754,train
3khq,A,3khq_A,93,1.70,276,val
9ezz,A,9ezz_A,61,1.95,137,train
1oks,A,1oks_A,54,1.80,139,test
4x1j,A,4x1j_A,83,2.50,201,train
1ru0,A,1ru0_A,100,1.60,303,train
2j49,A,2j49_A,134,2.30,433,test
5jxd,A,5jxd_A,186,2.03,596,train
4bhq,A,4bhq_A,109,2.05,301,train
4lq4,A,4lq4_A,211,1.75,683,train
7nfg,A,7nfg_A,32,1.09,57,train
6ukk,A,6ukk_A,158,1.60,353,train
1jf8,A,1jf8_A,130,1.12,413,train
9rez,A,9rez_A,122,1.05,358,train
2v7f,A,2v7f_A,139,1.15,408,train
5h1x,A,5h1x_A,48,2.41,89,train
1uec,A,1uec_A,177,1.82,422,train
8p5q,A,8p5q_A,129,2.14,354,train
8k7o,A,8k7o_A,233,1.70,784,test
4b1l,A,4b1l_A,162,1.65,582,val
3e21,A,3e21_A,40,1.73,105,train
7dgw,A,7dgw_A,94,1.35,301,train
1yzg,A,1yzg_A,168,2.00,536,train
9en5,A,9en5_A,169,1.33,554,train
6i31,A,6i31_A,54,1.79,94,train
1k4l,A,1k4l_A,216,1.60,732,train
5vky,A,5vky_A,122,2.30,311,train
8r79,A,8r79_A,60,2.18,152,train
2p9r,A,2p9r_A,102,2.30,297,train
4ds3,A,4ds3_A,192,1.85,612,train
6j98,A,6j98_A,75,1.56,182,train
2ivy,A,2ivy_A,88,1.40,229,val
3mvn,A,3mvn_A,123,1.90,386,train
8bq1,A,8bq1_A,194,2.32,602,test
1zzk,A,1zzk_A,80,0.95,245,train
5j1n,A,5j1n_A,171,1.09,527,train
1h8g,A,1h8g_A,95,2.40,225,train
5e5q,A,5e5q_A,63,1.60,176,test
3d89,A,3d89_A,136,2.07,417,train
7slt,A,7slt_A,33,2.00,42,train
3chm,A,3chm_A,161,1.50,508,test
3soy,A,3soy_A,142,2.00,425,train
3ipf,A,3ipf_A,69,1.99,194,test
3dl1,A,3dl1_A,210,2.20,711,train
3pc6,A,3pc6_A,99,1.90,276,train
5mj1,A,5mj1_A,81,1.80,207,train
6ccd,A,6ccd_A,98,1.80,297,train
2z0z,A,2z0z_A,194,2.00,640,train
1jq6,A,1jq6_A,173,2.30,544,train
1wc8,A,1wc8_A,164,1.90,496,train
3uwa,A,3uwa_A,148,1.95,483,train
5wcj,A,5wcj_A,222,1.70,645,train
7fia,A,7fia_A,160,2.13,420,train
3flv,A,3flv_A,92,1.70,262,train
2i5f,A,2i5f_A,99,1.35,292,train
3ejc,A,3ejc_A,163,1.85,402,val
3tbn,A,3tbn_A,87,1.15,216,val
6r5m,A,6r5m_A,57,1.90,141,test
4iej,A,4iej_A,75,1.45,222,train
1czt,A,1czt_A,160,1.87,516,train
2qfe,A,2qfe_A,139,1.45,439,train
4f44,A,4f44_A,83,2.40,238,test
7wm5,A,7wm5_A,212,2.15,698,val
4h8f,A,4h8f_A,33,1.88,70,train
5h34,A,5h34_A,111,1.75,292,train
4myb,A,4myb_A,217,2.40,655,train
8b45,B,8b45_B,32,1.60,56,train
1v70,A,1v70_A,105,1.30,326,train
3fhg,A,3fhg_A,207,1.90,714,train
10xp,A,10xp_A,85,2.00,254,train
9r74,A,9r74_A,191,2.00,620,train
5yiu,A,5yiu_A,49,1.42,127,train
8yoz,A,8yoz_A,79,1.83,182,val
3bj4,A,3bj4_A,37,2.00,78,train
6vzf,A,6vzf_A,86,2.03,186,train
1f7n,A,1f7n_A,117,2.20,313,train
7r6u,A,7r6u_A,72,1.55,200,train
1ccz,A,1ccz_A,171,1.80,515,train
2ja9,A,2ja9_A,175,2.20,536,test
5ujp,A,5ujp_A,114,1.42,324,val
6osd,A,6osd_A,34,2.15,70,train
1uz3,A,1uz3_A,102,1.10,276,train
7nfj,A,7nfj_A,32,1.19,57,train
8yv9,A,8yv9_A,100,2.14,267,train
4oi6,A,4oi6_A,81,2.04,235,train
1msp,A,1msp_A,124,2.50,343,train
1cy5,A,1cy5_A,93,1.30,303,train
8ar9,A,8ar9_A,163,2.36,560,test
1t07,A,1t07_A,81,1.80,232,train
2r2z,A,2r2z_A,84,1.20,250,train
2vul,A,2vul_A,193,1.90,695,train
4nl5,A,4nl5_A,101,1.90,238,train
3n8b,A,3n8b_A,75,1.90,169,train
3imk,A,3imk_A,158,1.45,533,train
3qrl,A,3qrl_A,137,1.70,410,train
5xqh,A,5xqh_A,223,2.04,716,train
5hlj,A,5hlj_A,169,2.41,511,train
3vtn,A,3vtn_A,71,1.75,46,train
7xt1,A,7xt1_A,136,1.98,388,train
7me5,A,7me5_A,153,2.00,428,train
3cq1,A,3cq1_A,99,1.90,274,train
6o80,A,6o80_A,179,2.10,602,train
1mvn,A,1mvn_A,182,2.21,578,test
6by9,A,6by9_A,268,2.30,879,train
3l9b,A,3l9b_A,126,1.95,388,test
5h4y,A,5h4y_A,127,1.90,405,train
7azn,A,7azn_A,177,2.09,550,train
8amt,AAA,8amt_AAA,129,1.50,383,train
4pww,A,4pww_A,85,1.47,245,train
6iyu,A,6iyu_A,225,2.20,760,val
3n7c,A,3n7c_A,109,2.26,314,train
3h9w,A,3h9w_A,109,1.90,340,train
3gyp,A,3gyp_A,225,2.41,709,train
6elw,A,6elw_A,165,1.30,539,val
6uof,A,6uof_A,119,1.20,378,val
27ah,A,27ah_A,82,1.40,253,train
4qt6,A,4qt6_A,159,1.64,551,train
2ywk,A,2ywk_A,84,1.54,239,train
2iqc,A,2iqc_A,173,2.40,544,train
1m7b,A,1m7b_A,179,2.00,570,train
7xc5,A,7xc5_A,166,2.10,558,test
1g6u,A,1g6u_A,48,1.48,109,val
3a2z,A,3a2z_A,190,1.50,608,train
3k63,A,3k63_A,120,2.49,357,train
2p84,A,2p84_A,133,1.80,359,train
1qdd,A,1qdd_A,144,1.30,410,train
4byz,A,4byz_A,194,1.55,631,test
1eu4,A,1eu4_A,204,2.50,648,train
8a50,B,8a50_B,30,1.48,50,train
4qpr,A,4qpr_A,142,1.55,449,train
3zoc,A,3zoc_A,176,2.10,533,train
